threshold,TP,FP,TN,FN,precision,recall,f1
1.0969857978923836,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.135733358343105,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.1758495540521563,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.2173827277396614,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.2603829296797273,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.3049019780144022,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.3509935211980264,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.398713102647238,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.448118227674534,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.4992684327860457,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.552225357427047,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.6070528182616384,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.6638168860761282,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.7225859653987865,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.7834308769319094,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.8464249428955435,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.9116440753857016,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
1.9791668678535563,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
2.049074689815847,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
2.12145178491063,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
2.196385372416546,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
2.2739657523579275,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
2.3542864143224165,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
2.4374441501222206,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
2.523539170434766,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
2.612675225563328,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
2.704959730463134,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
2.8005038941836307,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
2.899422853882877,76219,74904,0,0,0.504350760638685,1.0,0.6705228246430488
