ID, tic_id, best_period, duration, depth, vshape, snr, oot_variability
100,157145180,7.985388371008307 d,0.01 d,-0.9692830741405487,1.968253998674263,-12.0321317679075,0.08055788390930463
101,205037919,9.538545793146955 d,0.034 d,-0.9135466516017914,2.0,-2.9815319493385197,0.30640176497336213
102,434105262,1.3457649815910278 d,0.034 d,-0.9999999029395008,2.0,-7.031836518820805,0.14221034579842515
103,47481377,6.44152599949322 d,0.029 d,-0.9841435551643372,2.0,-9.712510346283532,0.10132741382776671
104,870856230,9.711772168232287 d,0.027 d,-0.9689086377620697,2.0,-3.6437180366033397,0.26591207882410206
110,321258095,3.142773924663301 d,0.029 d,-0.9733027815818787,2.0,-6.442567121695898,0.15107375106798623
111,291404786,6.055084049290317 d,0.017 d,-0.958545982837677,2.0,-19.975630771249968,0.04798576794967944
112,1908147782,7.25724627708414 d,0.028 d,-0.9076507091522217,1.9999840756609142,-1.896569709654147,0.47857492636942844
113,72511763,8.87599201343534 d,0.028 d,-0.9424096941947937,2.0,-4.668591941612094,0.20186165464471365
114,308730878,1.4252259863052292 d,0.024 d,-0.9243213534355164,1.9999981750968852,-1.6986683176081288,0.5441446949084447
120,323601363,6.677615324610845 d,0.019 d,-0.9848442375659943,2.0,-7.1186207606410035,0.1383476196697003
121,325219117,7.25724627708414 d,0.015 d,-0.9627079963684082,2.0,-6.1200426417706515,0.157304132130994
122,237313550,6.391004532489719 d,0.01 d,-0.9553951621055603,2.0,-6.362871508067063,0.1501515724298814
123,1547145135,8.766842112561843 d,0.042 d,-0.8610697388648987,2.0,-1.2655924169466257,0.6803689144585108
124,313894558,7.994375855868747 d,0.01 d,-0.9539133906364441,2.0,-7.457562740137096,0.12791221795593072
130,160056476,3.4464482643473855 d,0.015 d,-0.9446117281913757,2.0,-4.050216552255627,0.23322499328222518
131,138801111,6.248830288375289 d,0.021 d,-0.9540147483348846,1.9999259630483612,-13.300900343231863,0.07172557674415876
132,115073581,6.463300131451014 d,0.019 d,-0.9136365950107574,1.999952287338446,-3.2060285052839985,0.28497457009660154
133,456645161,5.006801021822285 d,0.02 d,-0.9810027778148651,2.0,-6.3913820495339815,0.15348836452147208
134,451788628,8.39055934691322 d,0.02 d,-0.9441106915473938,2.0,-3.4584399578020966,0.272987446093294
140,900689200,3.0521904332591205 d,0.042 d,-0.9793961644172668,2.0,-9.831054609636885,0.09962269596765483
141,414670123,4.622484115621225 d,0.015 d,-0.871539443731308,1.99998749054644,-2.849621738674258,0.3058439061939421
142,439180496,9.86592393033729 d,0.023 d,-0.8941092491149902,2.0,-1.9078184365770279,0.46865531434908675
143,359113075,7.008543091687779 d,0.014 d,-0.941067099571228,2.0,-4.296520177465774,0.2190300663562343
144,173989338,7.2327974297656485 d,0.024 d,-0.9716982245445251,2.0,-6.68010986834489,0.14546141361373743
200,18020959,8.167073022889523 d,0.018000000000000002 d,-0.9767679572105408,2.0,-13.988254102010972,0.06982772475302113
201,185053274,7.087824340524919 d,0.083 d,-0.9796028137207031,2.0,-12.848162710924038,0.0762445834288668
202,344130696,6.206797994568005 d,0.022 d,-0.9804273247718811,2.0,-8.45708984560962,0.11592963332189929
203,164637295,7.119787388676796 d,0.039 d,-0.9450579583644867,2.0,-2.922235362064828,0.32340240989237645
204,48011814,9.843753344143478 d,0.01 d,-0.9353283047676086,2.0,-6.64906750220798,0.14067059846467356
210,46199750,2.678818760174173 d,0.015 d,-0.918278157711029,1.9999856087216774,-5.106327236491943,0.17983143562532197
211,254757058,9.389509204955607 d,0.021 d,-0.8418766260147095,2.0,-2.146268066467399,0.39225138703217866
