Target ID,Highest Period,Highest Power
393891914,8.003373456064896 d,0.13814456243365686
197735254,4.229435092869268 d,0.09809353622842683
102177920,7.869466406554786 d,0.17856872428047643
305557277,4.989933671719652 d,0.16559482040276646
368286049,8.409456978000826 d,0.3672298815645533
2000366026,9.657303643970742 d,0.21268090488503252
206409213,9.679054298965143 d,0.17194892214812715
265530194,7.940602279171548 d,0.04329952300767584
283280702,6.53641354451377 d,0.056894220228322925
394015496,6.5290651387305 d,0.0618627321933656
355209885,6.730402475765154 d,0.030566726580005966
140045537,9.76654790248169 d,0.7627992475112516
241160001,6.829545344702705 d,0.13058042479969312
197684103,4.404220729533841 d,0.11480497975388072
393978659,6.75315308977306 d,0.008833063697663854
152251299,4.399269390262036 d,0.00973424720662593
241104752,9.977528119666887 d,0.13121266344683258
455522746,3.2763355428389924 d,4.163255929735261
329800842,6.837231938333148 d,0.4051406044358402
405122007,9.88814445021747 d,0.0007062297397973364
2026216399,7.331089800444445 d,2.161257555377192
84198841,1.7888121204794083 d,0.08228592777210503
240905045,7.540176882380896 d,0.06224538903904643
283414280,7.896067370361691 d,3.5176762226703038
385057147,9.854832402548652 d,0.09383960831102833
287926830,7.4894584414162395 d,0.14578055117830965
16783095,8.75698620108344 d,0.011869288610696168
147423571,8.717673233387845 d,0.05640988105913144
270259091,7.032233897581025 d,0.10732718269750778
2024418048,3.1286649873031442 d,0.03397886623761768
287443040,9.485048809902912 d,0.7373846931592755
2007480435,3.6294738664382993 d,0.17049647372183344
354568302,5.392655015071262 d,0.0007409949906444682
239631587,3.8654564229222244 d,1.9779995564796018
297877352,6.507069451852218 d,0.08473865329272079
204440456,1.0331587871212964 d,0.0038198764412562445
262305320,2.015337685941733 d,4.427479170641484
139831293,2.124752045384953 d,0.0040876068750938304
305506867,2.314385819344963 d,0.0733294572253266
320965107,5.441401804294318 d,0.07105211005583204
320940332,1.6477934969104682 d,0.0012072923623074746
367457851,9.613948857579164 d,0.05147310973353243
266594895,8.039465238093273 d,0.43112800684243646
382315106,2.846580042013535 d,0.04586031410278048
330101285,4.509495856171168 d,0.009525456369883965
147266280,9.560028975859614 d,0.07964586739950799
2027687774,6.722835982589679 d,0.10343023011736625
305190194,9.10862573829885 d,0.09796077048848027
88591358,6.44152599949322 d,0.10742057316738565
264452548,3.913582553172504 d,0.3319961993696127
389662085,8.268755612746787 d,0.08872068662512148
269020902,6.463300131451014 d,0.012076802122547624
352817378,6.945757069787762 d,0.02900574208514324
160512940,7.4810385978201035 d,0.12244025231988286
352752386,6.144279072391281 d,0.03956799769452895
99730808,8.130408367887933 d,0.021350309006651472
2023644871,6.041477136874059 d,0.32223669153035006
