ID,TIC ID,Periods,Powers
123,219840114,"[10.0, 4.989933671719652, 2.498360500639138, 7.4978877614727955]","[31.34753574059225, 22.858757291193253, 10.841167853795195, 10.405390219172398]"
124,91534657,"[5.001172246143714, 2.5011723835598163, 1.001125491265155, 1.377933119284724]","[9.398716062273275, 4.244314859856773, 3.1959458214010787, 3.1842537404984252]"
130,17901092,"[6.9849320974578015, 3.489357613185793, 4.664268961535039, 2.00178166636252]","[172.80269714708803, 70.13947644742088, 63.557626457368336, 35.20878694833673]"
131,54660667,"[7.000663905611724, 3.516941299697326, 2.340566352966317, 1.750986722730005]","[199.7781774493811, 74.86693423507847, 49.35081584099542, 30.688510141611335]"
132,380779964,"[7.000663905611724, 3.516941299697326, 2.8052569234483293, 9.932735741142663]","[78.09871389344096, 23.787811901052336, 16.215267947680925, 14.425987393344972]"
133,148823208,"[8.668780118126119, 1.7470519263201998, 4.345170668999547, 6.248830288375289]","[11.720474622189816, 4.184613383917887, 3.221283196231538, 3.039849207508719]"
134,46037580,"[4.6433295366235665, 1.0, 2.1828944205974756, 1.208012209843902]","[0.16134426282695216, 0.08290711762822847, 0.0754753591935981, 0.07475398186154308]"
140,229762574,"[4.499362171046914, 2.2502085215188754, 8.996615092624065, 6.0008395886725205]","[1456.1626672983462, 938.9296537315179, 887.2982941059264, 492.1803715497057]"
141,456793980,"[8.976398006847617, 4.499362171046914, 2.9876502192124885, 2.2426278218323974]","[131.2345164653988, 117.70729537463401, 72.56644073153366, 67.23385015346427]"
142,198316592,"[4.499362171046914, 6.0008395886725205, 2.2502085215188754, 8.996615092624065]","[30.658665311286267, 21.10426479898894, 19.49629770197425, 16.26646345474809]"
143,67595083,"[9.006740704326777, 2.592843223681231, 1.7968788960080624, 5.827878690329628]","[0.11743086463713193, 0.05340973554321273, 0.04391813797177416, 0.03690615577221212]"
144,347629140,"[9.139415401927543, 4.359858542576922, 5.362410281624636, 6.891280873208997]","[0.02136082126781167, 0.00915432975107433, 0.008872590271288706, 0.008514402613684718]"
200,110639468,"[1.0022522492608983, 1.9995312114496284, 3.001123240442947, 3.9981250655612186]","[287.4227816289829, 164.64991008225704, 121.90499230019904, 84.34099367834907]"
201,92127892,"[1.0022522492608983, 1.9995312114496284, 3.001123240442947, 3.9981250655612186]","[39.24199473939723, 23.42340054181852, 15.402378915929456, 12.784464691462803]"
202,1968420005,"[1.0, 2.00178166636252, 3.989140526758209, 10.0]","[1216.367642168148, 376.0772615353739, 240.99831763367425, 184.70727677724065]"
203,437059521,"[1.001125491265155, 1.9995312114496284, 3.001123240442947, 3.9981250655612186]","[851.8605778040052, 539.7554163686273, 353.540489333344, 245.21582018373618]"
204,61965938,"[1.001125491265155, 2.00178166636252, 3.001123240442947, 4.002624920399505]","[245.46480901550777, 136.98344297653182, 78.39999732192432, 66.65179569918041]"
210,219840114,"[2.9876502192124885, 6.0008395886725205, 9.03718596848019, 1.0]","[133.22907747656447, 70.89256347162373, 45.72040492220884, 45.468456976326436]"
211,208712116,"[2.9876502192124885, 9.03718596848019, 1.4908176428169, 1.0]","[297.39860126859696, 109.76308559137497, 102.91611255544625, 101.4511132288662]"
212,315138575,"[3.001123240442947, 6.0008395886725205, 1.5009134257360157, 1.001125491265155]","[171.1437561889699, 86.94818286039806, 80.97893317589786, 52.53613227376991]"
213,444160759,"[1.4958570170400662, 3.001123240442947, 6.0008395886725205, 1.0]","[55.34579547967341, 39.606847954079626, 34.28465029000082, 31.961525358745792]"
214,367227831,"[2.9876502192124885, 1.0770659731767294, 1.62022372691479, 2.1415484018584663]","[32.31426559608721, 19.67108530231119, 14.110065534906266, 10.496644800471007]"
220,1152812302,"[8.976398006847617, 4.884418831052454, 6.677615324610845, 1.6720664843415463]","[10765.700531488284, 3956.980677157351, 3925.770038204175, 3187.5612045376174]"
221,163802843,"[10.0, 5.001172246143714, 1.6626886908460208, 2.5011723835598163]","[199.1576616433167, 154.0596553444243, 80.97033879778495, 68.42275660866434]"
222,131216669,"[5.001172246143714, 10.0, 2.5011723835598163, 1.6664334802210825]","[61.98845864223223, 40.63832478921092, 29.324636861724375, 20.453074929894452]"
223,142905656,"[10.0, 5.001172246143714, 1.0, 3.7498228177378365]","[24.610613619643214, 8.999743898134039, 6.571438949897137, 6.36523198665941]"
224,153991946,"[10.0, 5.001172246143714, 1.0, 3.7498228177378365]","[0.8487582727996115, 0.3164759605007522, 0.23065873134867515, 0.15609123338454928]"
230,224288915,"[7.000663905611724, 3.501152602932541, 1.1666140716086664, 2.33268124789786]","[272.4016099841507, 61.41365147291379, 53.85329516135355, 44.99755854762602]"
231,431472762,"[6.977079455474373, 3.489357613185793, 2.3274392745120553, 1.7450878451935061]","[85.28316976295277, 38.51790222396387, 24.621134429905414, 18.440424435417466]"
232,334561168,"[7.000663905611724, 3.516941299697326, 1.6440905950828433, 9.854832402548652]","[6.1668234098170815, 2.0717628137478363, 1.2325351790575898, 1.0622140831803963]"
233,900689200,"[1.006771977087714, 5.392655015071262, 3.0521904332591205, 9.242801263614771]","[0.24297707632099272, 0.13538997520012702, 0.12839172241543012, 0.09290239128307136]"
234,184872734,"[8.986500864396879, 6.9379484693873685, 5.138025877544766, 1.051921642116359]","[0.12109009811302808, 0.0557333204111908, 0.05429986177884249, 0.05022685090997874]"
240,309787398,"[8.996615092624065, 4.499362171046914, 2.2502085215188754, 3.001123240442947]","[265.455690656593, 204.02191815090282, 120.84754119334303, 93.80602778669576]"
241,801337988,"[4.499362171046914, 9.027026129421198, 2.9876502192124885, 6.0008395886725205]","[7.955434664534982, 5.610312148528321, 5.475975334778357, 3.5489769635777964]"
242,293158354,"[6.0008395886725205, 4.499362171046914, 8.996615092624065, 2.2502085215188754]","[4.813599139984905, 3.842496857021587, 3.2284379722953247, 3.098458621906903]"
243,356103067,"[7.816533024010827, 4.884418831052454, 9.988757740413416, 1.4841248760948476]","[0.1518462395928912, 0.0813817064697661, 0.07268588153016259, 0.05792391651723572]"
244,233212451,"[6.021124079191008, 3.1998488023740377, 1.5594279542263094, 1.8816901832123456]","[0.004863339614836349, 0.002304880462693032, 0.00201150272578695, 0.0019030946881525253]"
300,434105262,"[1.0, 1.9972832865565688, 3.989140526758209, 10.0]","[125.93863297935276, 49.76471419911185, 36.145698199590775, 21.73933872513691]"
301,158617990,"[1.0, 1.9972832865565688, 5.006801021822285, 10.0]","[229.99009271296677, 112.78067280751091, 45.94141232017956, 37.225579621910875]"
302,138893463,"[1.001125491265155, 1.9972832865565688, 3.001123240442947, 3.989140526758209]","[67.16296266393314, 44.10937828410916, 23.4301976597741, 16.123227584545077]"
303,1107885,"[1.0, 1.9972832865565688, 5.006801021822285, 3.989140526758209]","[129.19843413095685, 90.87283383823932, 35.299625593792115, 34.048481147363475]"
304,77041172,"[1.0, 2.00178166636252, 3.989140526758209, 3.001123240442947]","[68.13546972814318, 35.47768083225615, 19.2495713183808, 18.058886515879294]"
310,1981843319,"[6.0008395886725205, 3.001123240442947, 1.0, 1.4992260599011042]","[15.191396705038198, 14.628291065203786, 6.554229980963838, 4.652850068666046]"
311,92755792,"[2.9876502192124885, 9.03718596848019, 1.5093787844280582, 1.0]","[7.307117434482697, 3.9756941899807097, 3.35319211840343, 3.1235714217544395]"
312,256755145,"[2.9876502192124885, 1.4958570170400662, 1.0, 6.0008395886725205]","[30.17318898166744, 21.06637102764157, 19.086562583855773, 16.08585846566067]"
313,452981151,"[3.001123240442947, 6.0008395886725205, 1.5009134257360157, 8.996615092624065]","[14.57764913585262, 8.045636105628603, 6.911467976459881, 5.307918531025782]"
314,242568288,"[3.001123240442947, 1.4992260599011042, 5.99409328903319, 9.006740704326777]","[4.612323002039877, 2.9611322662083692, 1.9348335577067517, 1.4926217922402378]"
320,219884489,"[10.0, 5.001172246143714, 1.6664334802210825, 1.0]","[335.34360336123666, 146.86839844450725, 100.07972337210832, 85.37076426292508]"
321,148654362,"[10.0, 5.0350400700063105, 1.6626886908460208, 3.7498228177378365]","[22.6475637291536, 13.032860058249314, 9.870098345200262, 7.2852840309056335]"
322,199179022,"[10.0, 5.001172246143714, 1.0, 1.6664334802210825]","[41.1269855031418, 22.424164541719346, 10.212005787424703, 8.741005860012049]"
323,129633313,"[5.012436132638715, 10.0, 2.5068056472120674, 3.3320857555066823]","[1.4215927551708674, 1.0503716736092739, 0.5720524754287338, 0.3774288745581848]"
324,122996150,"[6.312413034193256, 4.121415588281921, 7.711732021386012, 3.0316601005206576]","[0.28153833105176757, 0.1361620176700425, 0.11060132844627715, 0.09882380169448281]"
330,10183022,"[7.000663905611724, 3.501152602932541, 2.3300587870856972, 1.7490182180030456]","[26.625076649828536, 13.74513702564466, 10.290434467192226, 7.391561750560348]"
331,124423510,"[7.000663905611724, 3.516941299697326, 2.340566352966317, 9.932735741142663]","[23.322559377541374, 8.289039584980268, 5.346295749861659, 4.3992546284410725]"
332,387194629,"[7.000663905611724, 3.4972165162910995, 1.3982309013478131, 2.348478111861565]","[5.505444043573871, 1.962792949167445, 1.6724716226458936, 1.4367800304131497]"
333,434196824,"[1.139379221407525, 1.464226313067302, 1.7888121204794083, 2.2782243148815224]","[4.28057399905093, 2.825958862354902, 2.1830558233793074, 2.044129611274728]"
334,47481377,"[6.44152599949322, 3.221518105147864, 4.851564149790499, 7.816533024010827]","[0.39904477477583233, 0.13219555977740843, 0.1216730288262936, 0.12050065938721435]"
340,295851329,"[8.986500864396879, 4.499362171046914, 3.001123240442947, 2.2502085215188754]","[17.62609128243309, 8.572506049578053, 5.47777200554552, 5.381187521096257]"
341,72983467,"[9.006740704326777, 4.504426163869196, 6.0008395886725205, 2.2502085215188754]","[12.944032022275005, 5.159381046958412, 4.688605058775721, 3.17396105040688]"
342,385331518,"[9.016877712317015, 6.007593481213169, 1.8090473187212261, 2.2502085215188754]","[0.6959953870371386, 0.2776796649259081, 0.26744286265683825, 0.23963976371452064]"
343,23769401,"[1.0531055707361887, 9.921569101781975, 2.6697941207502334, 4.754320137459921]","[0.3869334153243919, 0.17374414038130423, 0.17363176412740314, 0.1646498954273424]"
344,274677206,"[7.455835819317271, 1.0, 2.947592979320594, 9.932735741142663]","[0.02334876075030752, 0.011456477723429025, 0.011226327116221119, 0.010212532026994873]"
400,9532180,"[1.0, 1.9972832865565688, 3.001123240442947, 3.9981250655612186]","[8.332614900302898, 4.867991667564384, 2.464629437509763, 2.0806672697158386]"
401,148654362,"[1.0, 1.9972832865565688, 5.006801021822285, 3.989140526758209]","[8.677064412827633, 5.268547481948975, 2.340883773371168, 2.2996728262975283]"
402,47875421,"[1.0, 10.0, 1.9995312114496284, 7.000663905611724]","[71.04947587102089, 12.262557679855782, 6.423051015379427, 6.033180851036643]"
403,388079618,"[1.0, 10.0, 1.9995312114496284, 7.000663905611724]","[33.11190130134091, 5.675993381808151, 4.9225101748876785, 3.5465103899401074]"
404,237104515,"[1.0, 10.0, 1.9995312114496284, 7.000663905611724]","[90.87382080387037, 15.534000694171844, 9.548475317365396, 7.822944453638658]"
410,14976740,"[2.9876502192124885, 1.4908176428169, 9.03718596848019, 1.0]","[4.333339029065467, 1.5679791908440845, 1.5218152485423972, 1.4456876972521704]"
411,33449927,"[9.7336454999202, 5.609198774570096, 3.9712319736258266, 1.9860815129496012]","[11.703130005355543, 5.682761938047265, 5.20555819079457, 4.966623771857709]"
412,283903463,"[2.9876502192124885, 1.5059869264859578, 1.0, 6.0008395886725205]","[2.1788018561295197, 1.569998657341071, 1.3968368391045771, 1.0969466695499626]"
413,224187656,"[3.001123240442947, 6.0008395886725205, 1.497540591046666, 1.9972832865565688]","[1.2908922225161727, 0.8173849149161755, 0.5423312726819653, 0.48730335244397355]"
414,309906358,"[8.213136440950402, 5.8082452218141, 3.6010075768979397, 1.8009259151735204]","[2.071471637638744, 1.2203085637812487, 0.9116398314058831, 0.6146367406673683]"
420,402027326,"[10.0, 4.9955497984808765, 3.7498228177378365, 1.0]","[3.709511755671815, 1.4293105276908993, 1.0440141581302138, 0.95569453668994]"
421,440952699,"[10.0, 5.006801021822285, 2.498360500639138, 1.6664334802210825]","[0.42979572405571465, 0.35450950410206783, 0.16760485624700652, 0.12708251773228343]"
