ID, tic_id, r_s, e_r_s, r_p, a, real_period, inc, period, duration, depth, vshape, snr, oot_variability
011900,377261756,6531908.478090957,47187.436613152524,0.525,918140843.5209832,0.22927818172668477,89.9999999682831,2.5957614460814007,0.025 d,0.0018853545188903809,1.9999900995843158,0.02641214689198071,0.07138210031168707
011900,377261756,6531908.478090957,47187.436613152524,0.525,918140843.5209832,0.22927818172668477,89.9999999682831,1.0113120869487369,0.025 d,-0.0006004571914672852,1.9999904692979456,-0.008411051133575834,0.07138907871696765
011900,377261756,6531908.478090957,47187.436613152524,0.525,918140843.5209832,0.22927818172668477,89.9999999682831,4.315943200533659,0.025 d,0.0012658536434173584,1.9999892814075675,0.01772777760841899,0.07140509495201472
011901,377261756,6531908.478090957,47187.436613152524,0.525,964047885.6970325,0.24668723518551805,89.99999996979344,6.969235641634904,0.025 d,0.01519244909286499,1.9999889399878887,0.21290116319460414,0.0713591643413343
011901,377261756,6531908.478090957,47187.436613152524,0.525,964047885.6970325,0.24668723518551805,89.99999996979344,2.5957614460814007,0.025 d,0.0018853545188903809,1.9999900995843158,0.02641214689198071,0.07138210031168707
011901,377261756,6531908.478090957,47187.436613152524,0.525,964047885.6970325,0.24668723518551805,89.99999996979344,1.0113120869487369,0.025 d,-0.0006004571914672852,1.9999904692979456,-0.008411051133575834,0.07138907871696765
011901,377261756,6531908.478090957,47187.436613152524,0.525,964047885.6970325,0.24668723518551805,89.99999996979344,4.315943200533659,0.025 d,0.0012658536434173584,1.9999892814075675,0.01772777760841899,0.07140509495201472
011902,377261756,6531908.478090957,47187.436613152524,0.525,1101769012.22518,0.30139399698113767,89.99999997356925,6.969235641634904,0.025 d,0.01519244909286499,1.9999889399878887,0.21290116319460414,0.0713591643413343
011902,377261756,6531908.478090957,47187.436613152524,0.525,1101769012.22518,0.30139399698113767,89.99999997356925,2.5957614460814007,0.025 d,0.0018853545188903809,1.9999900995843158,0.02641214689198071,0.07138210031168707
011902,377261756,6531908.478090957,47187.436613152524,0.525,1101769012.22518,0.30139399698113767,89.99999997356925,1.0113120869487369,0.025 d,-0.0006004571914672852,1.9999904692979456,-0.008411051133575834,0.07138907871696765
011902,377261756,6531908.478090957,47187.436613152524,0.525,1101769012.22518,0.30139399698113767,89.99999997356925,4.315943200533659,0.025 d,0.0012658536434173584,1.9999892814075675,0.01772777760841899,0.07140509495201472
011903,377261756,6531908.478090957,47187.436613152524,0.525,1331304223.1054256,0.4003268619667332,89.99999997812628,6.969235641634904,0.025 d,0.01519244909286499,1.9999889399878887,0.21290116319460414,0.0713591643413343
011903,377261756,6531908.478090957,47187.436613152524,0.525,1331304223.1054256,0.4003268619667332,89.99999997812628,2.5957614460814007,0.025 d,0.0018853545188903809,1.9999900995843158,0.02641214689198071,0.07138210031168707
011903,377261756,6531908.478090957,47187.436613152524,0.525,1331304223.1054256,0.4003268619667332,89.99999997812628,1.0113120869487369,0.025 d,-0.0006004571914672852,1.9999904692979456,-0.008411051133575834,0.07138907871696765
011903,377261756,6531908.478090957,47187.436613152524,0.525,1331304223.1054256,0.4003268619667332,89.99999997812628,4.315943200533659,0.025 d,0.0012658536434173584,1.9999892814075675,0.01772777760841899,0.07140509495201472
011904,377261756,6531908.478090957,47187.436613152524,0.525,1652653518.33777,0.5536961281062907,89.99999998237952,6.969235641634904,0.025 d,0.01519244909286499,1.9999889399878887,0.21290116319460414,0.0713591643413343
011904,377261756,6531908.478090957,47187.436613152524,0.525,1652653518.33777,0.5536961281062907,89.99999998237952,2.5957614460814007,0.025 d,0.0018853545188903809,1.9999900995843158,0.02641214689198071,0.07138210031168707
011904,377261756,6531908.478090957,47187.436613152524,0.525,1652653518.33777,0.5536961281062907,89.99999998237952,1.0113120869487369,0.025 d,-0.0006004571914672852,1.9999904692979456,-0.008411051133575834,0.07138907871696765
011904,377261756,6531908.478090957,47187.436613152524,0.525,1652653518.33777,0.5536961281062907,89.99999998237952,4.315943200533659,0.025 d,0.0012658536434173584,1.9999892814075675,0.01772777760841899,0.07140509495201472
011905,377261756,6531908.478090957,47187.436613152524,0.525,2065816897.9222121,0.7738138633275611,89.9999999859036,6.969235641634904,0.025 d,0.01519244909286499,1.9999889399878887,0.21290116319460414,0.0713591643413343
011905,377261756,6531908.478090957,47187.436613152524,0.525,2065816897.9222121,0.7738138633275611,89.9999999859036,2.5957614460814007,0.025 d,0.0018853545188903809,1.9999900995843158,0.02641214689198071,0.07138210031168707
011905,377261756,6531908.478090957,47187.436613152524,0.525,2065816897.9222121,0.7738138633275611,89.9999999859036,1.0113120869487369,0.025 d,-0.0006004571914672852,1.9999904692979456,-0.008411051133575834,0.07138907871696765
011905,377261756,6531908.478090957,47187.436613152524,0.525,2065816897.9222121,0.7738138633275611,89.9999999859036,4.315943200533659,0.025 d,0.0012658536434173584,1.9999892814075675,0.01772777760841899,0.07140509495201472
011906,377261756,6531908.478090957,47187.436613152524,0.525,2570794361.8587527,1.0742361817999428,89.99999998867254,6.969235641634904,0.025 d,0.01519244909286499,1.9999889399878887,0.21290116319460414,0.0713591643413343
