ID,tic_id,r_s,e_r_s,r_p,a,P_days,inc,period,duration,vshape,median,mean,max_depth,oot_variability,snr
000007,69872638,6735904.600150805,46709.95235489875,2.6872708243647905,13487650931.007166,12.32734325756334,90,2.4648634649865127,0.01 d,1.9090909090909092,nan,nan,nan,0.02976886051789851,nan
000007,69872638,6735904.600150805,46709.95235489875,2.6872708243647905,13487650931.007166,12.32734325756334,90,8.296706284040026,0.01 d,1.3636363636363635,nan,nan,nan,0.05462448753029281,nan
000008,335812977,5069781.743134378,107920.06274491246,0.5151204582327222,9700065687.063671,11.514286261884981,90,8.49502441075605,0.01 d,1.9090909090909092,0.2056479393401568,0.1683430995164007,0.23484542710104506,0.021341481180834072,7.888200847010843
000008,335812977,5069781.743134378,107920.06274491246,0.5151204582327222,9700065687.063671,11.514286261884981,90,3.5527266826243284,0.01 d,2.0,nan,nan,nan,0.014252149304379229,nan
000008,335812977,5069781.743134378,107920.06274491246,0.5151204582327222,9700065687.063671,11.514286261884981,90,2.4759789421532807,0.01 d,1.8181818181818181,nan,nan,nan,0.011771581094063484,nan
000008,335812977,5069781.743134378,107920.06274491246,0.5151204582327222,9700065687.063671,11.514286261884981,90,1.8711367141212696,0.01 d,1.9090909090909092,nan,nan,nan,0.009927161339154115,nan
000009,82311843,6620716.746601455,47409.90059960453,3.3431366907899074,13265229114.816917,12.338817069013315,90,8.727484898464501,0.01 d,2.0,nan,nan,nan,nan,nan
000009,82311843,6620716.746601455,47409.90059960453,3.3431366907899074,13265229114.816917,12.338817069013315,90,6.116695399294278,0.01 d,1.9090909090909092,nan,nan,nan,0.01692342712239343,nan
000009,82311843,6620716.746601455,47409.90059960453,3.3431366907899074,13265229114.816917,12.338817069013315,90,4.112153992491631,0.01 d,1.6363636363636365,nan,nan,nan,0.012373761677889663,nan
000009,82311843,6620716.746601455,47409.90059960453,3.3431366907899074,13265229114.816917,12.338817069013315,90,2.467637647286155,0.01 d,1.6363636363636365,nan,nan,nan,0.010338315151062996,nan
000010,232681995,6581029.201949714,67518.18979880853,1.0266787262180375,1568468383.367546,0.5062112941991115,90,1.0124503098689435,0.012 d,1.8461538461538456,0.06825453914090907,0.0643991291230076,0.09685207287738085,0.008656649787605707,7.423689349362398
000010,232681995,6581029.201949714,67518.18979880853,1.0266787262180375,1568468383.367546,0.5062112941991115,90,6.580677987273042,0.012 d,1.8571428571428572,nan,nan,nan,0.020936048617250454,nan
000010,232681995,6581029.201949714,67518.18979880853,1.0266787262180375,1568468383.367546,0.5062112941991115,90,3.7965092737723065,0.012 d,1.8461538461538463,nan,nan,nan,0.014835581132985385,nan
000010,232681995,6581029.201949714,67518.18979880853,1.0266787262180375,1568468383.367546,0.5062112941991115,90,2.0244259946248,0.012 d,1.8461538461538463,0.028748357646000033,0.028748357646000033,0.028748357646000033,0.009553341178431022,3.0044892813604056
000011,134765602,6222047.213806484,59114.56113345632,2.6688419720812218,3314932299.1990438,1.6918854116696025,90,1.6909810457964867,0.015 d,1.0,0.1081165897538715,0.10301383337022652,0.12535180133604162,0.011884569422331253,8.653215803919489
000011,134765602,6222047.213806484,59114.56113345632,2.6688419720812218,3314932299.1990438,1.6918854116696025,90,3.3849748556419277,0.015 d,1.9411764705882353,nan,nan,nan,0.01984042701562932,nan
000011,134765602,6222047.213806484,59114.56113345632,2.6688419720812218,3314932299.1990438,1.6918854116696025,90,5.074842515688356,0.015 d,1.7647058823529411,nan,nan,nan,0.02549904742295576,nan
000011,134765602,6222047.213806484,59114.56113345632,2.6688419720812218,3314932299.1990438,1.6918854116696025,90,6.768362873828236,0.015 d,1.9411764705882353,nan,nan,nan,0.028672535343969567,nan
000012,275185321,6425951.6658148505,91096.00707383202,0.8214043460201063,12534934463.42719,11.85320577376747,90,6.340879309889854,0.021 d,1.9583333333333333,nan,nan,nan,0.02935454328770876,nan
000012,275185321,6425951.6658148505,91096.00707383202,0.8214043460201063,12534934463.42719,11.85320577376747,90,9.689947990033593,0.021 d,1.88,nan,nan,nan,0.037185225199176226,nan
000012,275185321,6425951.6658148505,91096.00707383202,0.8214043460201063,12534934463.42719,11.85320577376747,90,1.1692415772892004,0.021 d,1.9166666666666667,nan,nan,nan,0.012885566682795165,nan
000012,275185321,6425951.6658148505,91096.00707383202,0.8214043460201063,12534934463.42719,11.85320577376747,90,1.9288371161304612,0.021 d,2.0,nan,nan,nan,0.016319081020438955,nan
000013,414670123,5793082.897362494,31508.947996644583,1.5590469292862341,7025151395.723918,5.810022596177719,90,7.347601242029074,0.011 d,1.4166666666666667,0.5710410158509908,0.5710410158509908,0.6674349515990297,0.10482963585483153,5.438933831348224
000013,414670123,5793082.897362494,31508.947996644583,1.5590469292862341,7025151395.723918,5.810022596177719,90,4.89541975975461,0.011 d,1.1666666666666667,0.27806071354074935,0.27806071354074935,0.28440856084651633,0.08375664931613093,3.315591858666862
000013,414670123,5793082.897362494,31508.947996644583,1.5590469292862341,7025151395.723918,5.810022596177719,90,3.8698069603620615,0.011 d,1.6666666666666667,nan,nan,nan,0.07555899831835863,nan
000013,414670123,5793082.897362494,31508.947996644583,1.5590469292862341,7025151395.723918,5.810022596177719,90,2.764533682667255,0.011 d,1.8333333333333333,nan,nan,nan,0.0627562066810987,nan
000014,1321954265,7260237.566449678,37332.5205347104,1.764316519030453,5030765201.305265,2.509479942862018,90,1.7216903932435348,0.01 d,2.0,3.255385994911194,3.255385994911194,3.2791376388989963,1.0410993941486606,3.1091754344494573
000014,1321954265,7260237.566449678,37332.5205347104,1.764316519030453,5030765201.305265,2.509479942862018,90,1.055477426979527,0.01 d,1.9090909090909092,nan,nan,nan,0.8676161228827322,nan
000014,1321954265,7260237.566449678,37332.5205347104,1.764316519030453,5030765201.305265,2.509479942862018,90,2.515279340706316,0.01 d,nan,nan,nan,nan,nan,nan
000014,1321954265,7260237.566449678,37332.5205347104,1.764316519030453,5030765201.305265,2.509479942862018,90,7.93167524796192,0.01 d,2.0,nan,nan,nan,nan,nan
