ra_deg            , dec_deg             , tic_id    , Tmag
325.92748974492696, -18.19233141634505  , 25093609  , 15.662
325.86627098924413, 41.72174277028902   , 2007480435, 15.8509
325.8503130310157 , -6.997071914855176  , 333314441 , 14.4277
325.5524874035513 , 32.347773846568124  , 239631587 , 15.7685
325.35681236477694, -48.832090165381274 , 139831293 , 14.6222
325.26275308994565, 9.395456385120502   , 305506867 , 15.744
325.07706126826224, -37.71278741903194  , 471015336 , 15.8
324.1500496024275 , 22.07593629084439   , 330101285 , 14.6969
323.9649471265518 , -39.84618313057632  , 2027687774, 15.58
323.4698178037233 , 24.46339312846283   , 88591358  , 15.9907
322.93761610028594, 35.20117399223651   , 160512940 , 15.6433
322.39642871329346, 0.2254675439072479  , 352752386 , 15.4416
321.9296799087499 , -22.197010475151153 , 99730808  , 15.3262
