Target ID,Period,Power
Target ID,Period,Power
129101920,9.016877712317015 d,0.3172586681345446
434196824,1.3025732330465385 d,0.872353899644517
91513352,1.021602332706686 d,0.40586150887838135
47338338,1.0135898138491046 d,0.3685468163094603
428244499,1.0273643107386625 d,13.119234919487788
250326099,1.2175616552697652 d,0.4722820863057533
161208596,1.019306600169825 d,0.0977440553520602
118037792,9.326351367185056 d,9.47078725501252
161175160,1.0113120869487369 d,0.14298619143941158
117517295,1.1918156569238585 d,0.4777753371897905
115741447,1.0262093211115306 d,0.024161719331784206
399518437,1.0250556299537197 d,0.4142146076516089
416036999,9.744600632908476 d,3.741068631343144
389010277,1.094161886753824 d,0.017373174348188754
253936074,8.343500851569784 d,40.38212556121484
399570361,1.3609883920753507 d,0.2744264377269785
399571137,1.0124503098689435 d,0.24659225325883014
161154061,1.005640137896622 d,0.2791971070632425
125250375,1.0 d,0.22700932161486076
293158354,1.0471992227148417 d,0.019086150182087383
403221905,1.0113120869487369 d,0.029983131313203296
89042812,1.1483861168722649 d,0.01854845819570756
209363138,1.001125491265155 d,0.05354438590044686
152926212,1.0135898138491046 d,0.1347705244724811
150692998,1.0045095711485297 d,0.2997378346942796
51813081,1.0590452313748415 d,0.14691497763030845
176104105,1.0424980037945302 d,0.08971876918205213
69813909,2.77076010161077 d,0.019975332711500964
382421834,1.006771977087714 d,0.012108170984614731
419841161,1.051921642116359 d,0.06023736344882818
63281499,1.0978604552773759 d,0.12331095947393311
411339897,1.0239032358054565 d,0.3098416420799731
219331395,1.0113120869487369 d,0.23515330469372198
469904910,6.617793918574526 d,0.15020522228149655
2028045216,4.4290611417755725 d,16.304835876561835
315138575,7.079856024410889 d,0.6429429285691052
144002497,1.275029619005894 d,0.8046999770343553
375785769,1.0135898138491046 d,0.6006093341200922
404580748,1.4708293458036283 d,0.4484722120969516
385468477,1.4188276819260803 d,0.587084235857857
39927600,1.0424980037945302 d,1.6432391504503367
278772261,1.0045095711485297 d,0.04985053674826786
441197076,1.1140325988633226 d,0.043994235455656124
394521800,1.134264176402808 d,0.010944858671126954
404514669,1.1253680405856281 d,0.4514742819792349
431067687,1.4992260599011042 d,1.189679387572424
206600616,1.0626250959316317 d,0.5999386927953376
2028244270,1.0022522492608983 d,0.7491934127144758
278615066,1.14967861541583 d,0.08686447051356756
143951121,1.0807067528039551 d,0.0007751166482768338
258861145,1.014730600331042 d,0.6924353934497826
97403206,1.0831407737892056 d,0.04178306268562735
456793980,1.0343215983117198 d,0.15933362771258514
75324965,1.0366511483670484 d,0.4963159333263924
372363437,1.197190234424688 d,0.9951716707764193
162334232,1.0124503098689435 d,0.1357631038637738
26691554,1.856461220803544 d,5748.9839950729365
2026602766,1.08192307881443 d,0.572319552898778
143854657,1.019306600169825 d,0.2037593601236758
427942736,6.36231322831739 d,1.0600844134309362
404722884,1.1666140716086664 d,22.93246093363221
290404650,1.0033802754129233 d,0.028919536478973187
102183555,1.1329890071717195 d,0.27725950522760545
393891914,4.306244464620969 d,4.443139987355266
197735254,7.616899265292591 d,0.6156458464941382
102177920,1.0045095711485297 d,0.6730787925853988
305557277,1.021602332706686 d,0.9910521628986225
368286049,1.0033802754129233 d,4.460868876646876
2000366026,1.001125491265155 d,1.3788367408834636
206409213,1.7529574429918404 d,0.6316077833866945
265530194,4.282092870346075 d,0.7930951478968601
283280702,3.674661940736689 d,0.1855501116196382
394015496,7.5741798465044905 d,0.23497964434475319
355209885,5.854159923928669 d,1.795581527164279
140045537,1.1355407808257278 d,182.80139366913826
241160001,1.0090394785290029 d,0.41761435463604996
197684103,1.0227521372086095 d,0.41003568264717194
393978659,1.018160669230082 d,0.029370393446279997
152251299,1.0366511483670484 d,0.02871793372571584
241104752,7.790200002480685 d,0.5904666013500727
455522746,7.59978266041269 d,20.996835740362034
329800842,6.70772850601969 d,4.7359508463304705
405122007,4.956369252702104 d,0.004270172599512125
2026216399,9.932735741142663 d,211.4873725357668
84198841,1.006771977087714 d,0.9260650911205025
240905045,1.0413260004768146 d,0.44824858685096586
283414280,4.878927640609624 d,53.033088756324595
385057147,2.4318155444224527 d,0.32110833304381337
287926830,1.056665357604161 d,0.6530028991912832
