ID,TIC ID,Periods,Powers
402891559,402891559,"[4.89541975975461, 3.691233090205235, 2.456559616913081, 1.1253680405856281]","[0.2739525710718271, 0.12964935313097986, 0.12348521941576751, 0.12322617196373621]"
392815631,392815631,"[5.571468914734603, 3.1111178535962187, 1.3202749608084674, 4.121415588281921]","[0.033994360507112444, 0.015573221430880033, 0.011958443078589997, 0.011848893634397895]"
436823466,436823466,"[3.6172465767723554, 7.184146553907804, 2.1730946954558252, 1.2551077075971255]","[0.23591449883429003, 0.10017478239259618, 0.09206535311648854, 0.08522469886550176]"
252627215,252627215,"[7.063946256675266, 1.0880252741724814, 5.120716445646992, 3.9936302695765513]","[1.989693585905326, 1.0465019951118388, 0.7687627413737677, 0.7056383105172009]"
237328343,237328343,"[7.048072241179314, 5.404800618343236, 1.5895352062322048, 3.524862328140191]","[1.7533274062311484, 0.7568899249400388, 0.6994547680459153, 0.686438473107781]"
173175807,173175807,"[8.039465238093273, 1.6075161666931819, 5.018077585723148, 1.08192307881443]","[2.8318052218992786, 1.0748361232815862, 0.9696848781529748, 0.873811759933067]"
373928876,373928876,"[9.305393301998265, 1.9051178090706882, 4.504426163869196, 2.8052569234483293]","[3.6900105485955104, 1.4709296512957826, 1.3614603262269918, 1.353805983546141]"
12933046,12933046,"[8.591120865522164, 1.7470519263201998, 2.7958063280582985, 6.412607887974776]","[0.14435460138578018, 0.06578551347934272, 0.06461059629272002, 0.06086874584966047]"
2050727554,2050727554,"[1.5437203776311297, 2.396513462419588, 2.931061388903713, 10.0]","[4.741591262077289, 2.5293918445248953, 2.0369213890602103, 1.9978987881603407]"
217329125,217329125,"[5.109209232928354, 9.305393301998265, 1.1758362610195754, 2.451039265538838]","[0.3152450633443488, 0.1338058695242899, 0.1317413049311124, 0.1258993205809248]"
111754737,111754737,"[4.857024542863427, 1.715890211749482, 1.0722306726706852, 9.603140606708259]","[0.28360452465383423, 0.12834096976670867, 0.1136763132991799, 0.11327189215219075]"
36726784,36726784,"[5.435284439134439, 2.6016077478798056, 4.229435092869268, 1.6928842301930735]","[0.1376124265073253, 0.06456885302925869, 0.06267992638995312, 0.058147870169053026]"
